url,status,title,category,num_links,keywords
https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,200,DuckDuckGo - Protection. Privacy. Peace of mind.,unknown,2,
https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/compare-privacy,200,Which browsers and extensions are best for online privacy,login_page,29,"password,account,secure,email"
https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/,200,DuckDuckGo - Protection. Privacy. Peace of mind.,unknown,2,
